iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"28-feb-2017"
Total Net Assets,"15,890,066,163.86"
,"121,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","6.70","136.99","7,770,569.00","1,064,490,247.31","1,064,490,247.31","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","4.56","63.98","11,330,713.00","724,939,017.74","724,939,017.74","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.06","845.04","574,727.00","485,667,304.08","485,667,304.08","Consumo discrecional","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","2.91","135.54","3,411,192.00","462,352,963.68","462,352,963.68","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.29","844.93","431,476.00","364,567,016.68","364,567,016.68","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.24","823.21","432,483.00","356,024,330.43","356,024,330.43","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.86","122.21","2,418,360.00","295,547,775.60","295,547,775.60","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","1.64","37.42","6,946,438.00","259,935,709.96","259,935,709.96","Consumo discrecional","2044545","US20030N1019","NASDAQ"
"HD","HOME DEPOT INC","Equity","1.62","144.91","1,775,178.00","257,241,043.98","257,241,043.98","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.51","87.94","2,721,552.00","239,333,282.88","239,333,282.88","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
