iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"31-mar-2017"
Total Net Assets,"16,512,799,186.26"
,"125,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","6.84","143.66","7,866,958.00","1,130,167,186.28","1,130,167,186.28","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","4.62","65.86","11,587,093.00","763,125,944.98","763,125,944.98","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.19","886.54","593,851.00","526,472,665.54","526,472,665.54","Consumo discrecional","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","3.04","142.05","3,531,473.00","501,645,739.65","501,645,739.65","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.29","847.80","445,506.00","377,699,986.80","377,699,986.80","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.22","829.56","443,078.00","367,559,785.68","367,559,785.68","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.87","124.55","2,481,811.00","309,109,560.05","309,109,560.05","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","1.62","146.83","1,826,574.00","268,195,860.42","268,195,860.42","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","1.61","37.59","7,096,493.00","266,757,171.87","266,757,171.87","Consumo discrecional","2044545","US20030N1019","NASDAQ"
"V","VISA INC CLASS A","Equity","1.50","88.87","2,786,017.00","247,593,330.79","247,593,330.79","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
