iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"28-abr-2017"
Total Net Assets,"17,469,333,533.05"
,"130,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","6.71","143.65","8,154,366.00","1,171,374,675.90","1,171,374,675.90","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","4.71","68.46","12,010,475.00","822,237,118.50","822,237,118.50","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.26","924.99","615,530.00","569,359,094.70","569,359,094.70","Consumo discrecional","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","3.15","150.25","3,660,486.00","549,988,021.50","549,988,021.50","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.44","924.52","461,766.00","426,911,902.32","426,911,902.32","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.38","905.96","459,247.00","416,059,412.12","416,059,412.12","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.82","123.47","2,572,298.00","317,601,634.06","317,601,634.06","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","1.69","156.10","1,893,061.00","295,506,822.10","295,506,822.10","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","1.65","39.19","7,354,666.00","288,229,360.54","288,229,360.54","Consumo discrecional","2044545","US20030N1019","NASDAQ"
"V","VISA INC CLASS A","Equity","1.51","91.22","2,887,225.00","263,372,664.50","263,372,664.50","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.50","174.88","1,495,703.00","261,568,540.64","261,568,540.64","Cuidado de la Salud","2917766","US91324P1021","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.24","71.78","3,013,393.00","216,301,349.54","216,301,349.54","Productos básicos de consumo","2692632","US02209S1033","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.06","28.99","6,376,409.00","184,852,096.91","184,852,096.91","Industriales","2380498","US3696041033","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.01","33.92","5,182,838.00","175,801,864.96","175,801,864.96","Cuidado de la Salud","2684703","US7170811035","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.98","116.32","1,464,974.00","170,405,775.68","170,405,775.68","Tecnología de la Información","B121557","US57636Q1040","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.97","87.33","1,947,899.00","170,110,019.67","170,110,019.67","Productos básicos de consumo","2704407","US7427181091","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.94","62.33","2,646,939.00","164,983,707.87","164,983,707.87","Cuidado de la Salud","2778844","US58933Y1055","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.94","65.94","2,478,443.00","163,428,531.42","163,428,531.42","Cuidado de la Salud","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.88","115.60","1,334,592.00","154,278,835.20","154,278,835.20","Consumo discrecional","2270726","US2546871060","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.88","45.91","3,359,452.00","154,232,441.32","154,232,441.32","Telecomunicaciones","2090571","US92343V1044","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.86","124.05","1,209,667.00","150,059,191.35","150,059,191.35","Cuidado de la Salud","2182348","US1510201049","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.84","110.84","1,326,757.00","147,057,745.88","147,057,745.88","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"PCLN","THE PRICELINE GROUP INC","Equity","0.81","1,846.82","76,416.00","141,126,597.12","141,126,597.12","Consumo discrecional","2779063","US7415034039","NASDAQ"
"PEP","PEPSICO INC","Equity","0.81","113.28","1,242,783.00","140,782,458.24","140,782,458.24","Productos básicos de consumo","2681511","US7134481081","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.80","68.55","2,032,423.00","139,322,596.65","139,322,596.65","Cuidado de la Salud","2369174","US3755581036","NASDAQ"
"AVGO","BROADCOM LTD","Equity","0.79","220.81","623,557.00","137,687,621.17","137,687,621.17","Tecnología de la Información","BD9WQP4","SG9999014823","NASDAQ"
"SBUX","STARBUCKS CORP","Equity","0.78","60.06","2,266,217.00","136,108,993.02","136,108,993.02","Consumo discrecional","2842255","US8552441094","NASDAQ"
"KO","COCA-COLA","Equity","0.76","43.15","3,064,334.00","132,226,012.10","132,226,012.10","Productos básicos de consumo","2206657","US1912161007","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.73","36.15","3,528,947.00","127,571,434.05","127,571,434.05","Tecnología de la Información","2463247","US4581401001","NASDAQ"
"MMM","3M","Equity","0.71","195.83","630,409.00","123,452,994.47","123,452,994.47","Industriales","2595708","US88579Y1010","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.71","53.74","2,296,791.00","123,429,548.34","123,429,548.34","Tecnología de la Información","2714923","US7475251036","NASDAQ"
"TXN","TEXAS INSTRUMENT INC","Equity","0.70","79.18","1,554,444.00","123,080,875.92","123,080,875.92","Tecnología de la Información","2885409","US8825081040","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.70","160.29","760,755.00","121,941,418.95","121,941,418.95","Tecnología de la Información","2005973","US4592001014","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.70","44.96","2,703,043.00","121,528,813.28","121,528,813.28","Tecnología de la Información","2661568","US68389X1054","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.68","99.27","1,204,040.00","119,525,050.80","119,525,050.80","Consumo discrecional","B63QTN2","US8873173038","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.67","121.30","968,211.00","117,443,994.30","117,443,994.30","Tecnología de la Información","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.66","345.16","334,454.00","115,440,142.64","115,440,142.64","Consumo discrecional","BZ6VT82","US16119P1084","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.66","107.46","1,071,677.00","115,162,410.42","115,162,410.42","Industriales","2517382","US9113121068","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.63","139.93","789,563.00","110,483,550.59","110,483,550.59","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.63","184.83","593,455.00","109,688,287.65","109,688,287.65","Industriales","2108601","US0970231058","New York Stock Exchange Inc."
