iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"31-may-2017"
Total Net Assets,"18,070,050,930.38"
,"131,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","6.94","152.76","8,195,056.00","1,251,876,754.56","1,251,876,754.56","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","4.67","69.84","12,070,418.00","842,997,993.12","842,997,993.12","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.41","994.62","618,598.00","615,269,942.76","615,269,942.76","Consumo discrecional","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","3.09","151.46","3,678,751.00","557,183,626.46","557,183,626.46","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.54","987.09","464,067.00","458,075,895.03","458,075,895.03","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.47","964.86","461,535.00","445,316,660.10","445,316,660.10","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.84","128.25","2,585,129.00","331,542,794.25","331,542,794.25","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","1.71","41.69","7,391,365.00","308,146,006.85","308,146,006.85","Consumo discrecional","2044545","US20030N1019","NASDAQ"
"HD","HOME DEPOT INC","Equity","1.62","153.51","1,902,512.00","292,054,617.12","292,054,617.12","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.53","95.23","2,901,629.00","276,322,129.67","276,322,129.67","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.46","175.18","1,503,165.00","263,324,444.70","263,324,444.70","Cuidado de la Salud","2917766","US91324P1021","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.27","75.44","3,028,434.00","228,465,060.96","228,465,060.96","Productos básicos de consumo","2692632","US02209S1033","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","1.00","122.88","1,472,280.00","180,913,766.40","180,913,766.40","Tecnología de la Información","B121557","US57636Q1040","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.97","27.38","6,408,233.00","175,457,419.54","175,457,419.54","Industriales","2380498","US3696041033","New York Stock Exchange Inc."
