iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"31-jul-2017"
Total Net Assets,"18,826,179,079.04"
,"134,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","6.59","148.73","8,263,797.00","1,229,074,527.81","1,229,074,527.81","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","4.77","72.70","12,236,829.00","889,617,468.30","889,617,468.30","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","3.40","169.25","3,746,472.00","634,090,386.00","634,090,386.00","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.33","987.78","628,782.00","621,098,283.96","621,098,283.96","Consumo discrecional","2000019","US0231351067","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.39","945.50","471,723.00","446,014,096.50","446,014,096.50","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.36","930.50","472,949.00","440,079,044.50","440,079,044.50","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.85","132.72","2,604,489.00","345,667,780.08","345,667,780.08","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","1.63","40.45","7,501,241.00","303,425,198.45","303,425,198.45","Consumo discrecional","2044545","US20030N1019","NASDAQ"
"UNH","UNITEDHEALTH GROUP INC","Equity","1.57","191.81","1,527,385.00","292,967,716.85","292,967,716.85","Cuidado de la Salud","2917766","US91324P1021","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.56","99.56","2,926,263.00","291,338,744.28","291,338,744.28","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","1.52","149.60","1,894,914.00","283,479,134.40","283,479,134.40","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.07","64.97","3,061,613.00","198,912,996.61","198,912,996.61","Productos básicos de consumo","2692632","US02209S1033","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","1.02","127.80","1,486,691.00","189,999,109.80","189,999,109.80","Tecnología de la Información","B121557","US57636Q1040","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.97","90.82","1,986,346.00","180,399,943.72","180,399,943.72","Productos básicos de consumo","2704407","US7427181091","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.95","69.91","2,522,552.00","176,351,610.32","176,351,610.32","Cuidado de la Salud","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.94","33.16","5,296,974.00","175,647,657.84","175,647,657.84","Cuidado de la Salud","2684703","US7170811035","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.92","63.88","2,687,819.00","171,697,877.72","171,697,877.72","Cuidado de la Salud","2778844","US58933Y1055","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.90","135.41","1,237,587.00","167,581,655.67","167,581,655.67","Cuidado de la Salud","2182348","US1510201049","NASDAQ"
"GE","GENERAL ELECTRIC","Equity","0.89","25.61","6,487,466.00","166,144,004.26","166,144,004.26","Industriales","2380498","US3696041033","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.89","48.40","3,426,810.00","165,857,604.00","165,857,604.00","Telecomunicaciones","2090571","US92343V1044","New York Stock Exchange Inc."
"PCLN","THE PRICELINE GROUP INC","Equity","0.85","2,028.50","77,939.00","158,099,261.50","158,099,261.50","Consumo discrecional","2779063","US7415034039","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.85","116.71","1,353,930.00","158,017,170.30","158,017,170.30","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.85","76.09","2,071,137.00","157,592,814.33","157,592,814.33","Cuidado de la Salud","2369174","US3755581036","NASDAQ"
"AVGO","BROADCOM LTD","Equity","0.84","246.66","636,137.00","156,909,552.42","156,909,552.42","Tecnología de la Información","BD9WQP4","SG9999014823","NASDAQ"
"NVDA","NVIDIA CORP","Equity","0.82","162.51","943,070.00","153,258,305.70","153,258,305.70","Tecnología de la Información","2379504","US67066G1040","NASDAQ"
"DIS","WALT DISNEY","Equity","0.80","109.93","1,360,392.00","149,547,892.56","149,547,892.56","Consumo discrecional","2270726","US2546871060","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.79","116.61","1,267,910.00","147,850,985.10","147,850,985.10","Productos básicos de consumo","2681511","US7134481081","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.78","242.46","596,082.00","144,526,041.72","144,526,041.72","Industriales","2108601","US0970231058","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.76","45.84","3,108,300.00","142,484,472.00","142,484,472.00","Productos básicos de consumo","2206657","US1912161007","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.74","49.93","2,761,276.00","137,870,510.68","137,870,510.68","Tecnología de la Información","2661568","US68389X1054","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.72","391.91","341,854.00","133,976,001.14","133,976,001.14","Consumo discrecional","BZ6VT82","US16119P1084","NASDAQ"
"MMM","3M","Equity","0.70","201.17","644,068.00","129,567,159.56","129,567,159.56","Industriales","2595708","US88579Y1010","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.69","81.38","1,579,147.00","128,510,982.86","128,510,982.86","Tecnología de la Información","2885409","US8825081040","NASDAQ"
"INTC","INTEL CORPORATION CORP","Equity","0.68","35.47","3,582,561.00","127,073,438.67","127,073,438.67","Tecnología de la Información","2463247","US4581401001","NASDAQ"
"ACN","ACCENTURE PLC CLASS A","Equity","0.68","128.82","982,826.00","126,607,645.32","126,607,645.32","Tecnología de la Información","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.68","102.42","1,229,207.00","125,895,380.94","125,895,380.94","Consumo discrecional","B63QTN2","US8873173038","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.67","53.19","2,341,697.00","124,554,863.43","124,554,863.43","Tecnología de la Información","2714923","US7475251036","NASDAQ"
"MCD","MCDONALDS CORP","Equity","0.67","155.14","800,947.00","124,258,917.58","124,258,917.58","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.67","181.66","683,140.00","124,099,212.40","124,099,212.40","Consumo discrecional","2857817","US64110L1061","NASDAQ"
"SBUX","STARBUCKS CORP","Equity","0.66","53.98","2,295,216.00","123,895,759.68","123,895,759.68","Consumo discrecional","2842255","US8552441094","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.65","110.29","1,091,684.00","120,401,828.36","120,401,828.36","Industriales","2517382","US9113121068","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.62","292.13","394,520.00","115,251,127.60","115,251,127.60","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"ADBE","ADOBE SYSTEM INC","Equity","0.62","146.49","784,094.00","114,861,930.06","114,861,930.06","Tecnología de la Información","2008154","US00724F1012","NASDAQ"
"AMGN","AMGEN INC","Equity","0.60","174.51","641,491.00","111,946,594.41","111,946,594.41","Cuidado de la Salud","2023607","US0311621009","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.60","144.67","772,380.00","111,740,214.60","111,740,214.60","Tecnología de la Información","2005973","US4592001014","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.56","58.55","1,770,688.00","103,673,782.40","103,673,782.40","Tecnología de la Información","BYW36M8","US70450Y1038","NASDAQ"
"BIIB","BIOGEN INC INC","Equity","0.53","289.59","338,586.00","98,051,119.74","98,051,119.74","Cuidado de la Salud","2455965","US09062X1037","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.52","136.12","712,936.00","97,044,848.32","97,044,848.32","Industriales","2020459","US4385161066","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.52","90.80","1,059,937.00","96,242,279.60","96,242,279.60","Tecnología de la Información","2310525","US79466L3024","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.49","136.33","673,744.00","91,851,519.52","91,851,519.52","Bienes Raíces","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.49","102.96","883,230.00","90,937,360.80","90,937,360.80","Industriales","2914734","US9078181081","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.47","196.33","449,576.00","88,265,256.08","88,265,256.08","Industriales","2365161","US3695501086","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.45","118.91","709,644.00","84,383,768.04","84,383,768.04","Tecnología de la Información","2065308","US0530151036","NASDAQ"
"SCHW","CHARLES SCHWAB CORP","Equity","0.44","42.90","1,929,514.00","82,776,150.60","82,776,150.60","Financieros","2779397","US8085131055","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.44","56.90","1,436,884.00","81,758,699.60","81,758,699.60","Cuidado de la Salud","2126335","US1101221083","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.44","208.03","390,076.00","81,147,510.28","81,147,510.28","Industriales","2142784","US31428X1063","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.44","154.31","525,740.00","81,126,939.40","81,126,939.40","Cuidado de la Salud","2695921","US00817Y1082","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.41","44.31","1,704,130.00","75,510,000.30","75,510,000.30","Tecnología de la Información","2046552","US0382221051","NASDAQ"
"USB","US BANCORP","Equity","0.40","52.78","1,407,086.00","74,265,999.08","74,265,999.08","Financieros","2736035","US9029733048","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","0.39","263.13","276,899.00","72,860,433.87","72,860,433.87","Industriales","2648806","US6668071029","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","0.39","201.40","360,565.00","72,617,791.00","72,617,791.00","Cuidado de la Salud","2087807","US0758871091","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.39","147.10","492,093.00","72,386,880.30","72,386,880.30","Cuidado de la Salud","2853688","US8636671013","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.38","70.31","1,020,501.00","71,751,425.31","71,751,425.31","Consumo discrecional","2989301","US8725401090","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.38","59.05","1,198,245.00","70,756,367.25","70,756,367.25","Consumo discrecional","2640147","US6541061031","New York Stock Exchange Inc."
"ITW","ILLINOIS TOOL INC","Equity","0.37","140.71","493,056.00","69,377,909.76","69,377,909.76","Industriales","2457552","US4523081093","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.36","68.60","991,493.00","68,016,419.80","68,016,419.80","Energía","2779201","AN8068571086","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.36","61.78","1,100,008.00","67,958,494.24","67,958,494.24","Tecnología de la Información","2575818","US00507V1098","NASDAQ"
"LOW","LOWES COMPANIES INC","Equity","0.36","77.40","871,320.00","67,440,168.00","67,440,168.00","Consumo discrecional","2536763","US5486611073","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.36","175.53","378,558.00","66,448,285.74","66,448,285.74","Cuidado de la Salud","2886907","US8835561023","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.34","77.97","817,624.00","63,750,143.28","63,750,143.28","Financieros","2567741","US5717481023","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.34","153.59","409,058.00","62,827,218.22","62,827,218.22","Financieros","BYV2325","US78409V1044","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.34","66.71","939,511.00","62,674,778.81","62,674,778.81","Financieros","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"REGN","REGENERON PHARMACEUTICALS INC","Equity","0.32","491.62","120,870.00","59,422,109.40","59,422,109.40","Cuidado de la Salud","2730190","US75886F1075","NASDAQ"
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.31","26.62","2,173,266.00","57,852,340.92","57,852,340.92","Cuidado de la Salud","2113434","US1011371077","New York Stock Exchange Inc."
"EA","ELECTRONIC ARTS INC","Equity","0.31","116.74","492,048.00","57,441,683.52","57,441,683.52","Tecnología de la Información","2310194","US2855121099","NASDAQ"
"AON","AON PLC CLASS A","Equity","0.31","138.17","415,177.00","57,365,006.09","57,365,006.09","Financieros","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.30","72.20","785,180.00","56,689,996.00","56,689,996.00","Productos básicos de consumo","2209106","US1941621039","New York Stock Exchange Inc."
"DD","E I DU PONT DE NEMOURS","Equity","0.30","82.21","687,949.00","56,556,287.29","56,556,287.29","Materiales","2018175","US2635341090","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.30","82.66","678,163.00","56,056,953.58","56,056,953.58","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"EQIX","EQUINIX REIT INC","Equity","0.30","450.73","123,614.00","55,716,538.22","55,716,538.22","Bienes Raíces","BVLZX12","US29444U7000","NASDAQ"
"CAT","CATERPILLAR INC","Equity","0.30","113.95","486,149.00","55,396,678.55","55,396,678.55","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.29","938.26","58,403.00","54,797,198.78","54,797,198.78","Cuidado de la Salud","2871301","US46120E6023","NASDAQ"
"MON","MONSANTO","Equity","0.29","116.82","465,132.00","54,336,720.24","54,336,720.24","Materiales","2654320","US61166W1018","New York Stock Exchange Inc."
"LUV","SOUTHWEST AIRLINES","Equity","0.29","55.51","958,627.00","53,213,384.77","53,213,384.77","Industriales","2831543","US8447411088","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.28","171.77","309,119.00","53,097,370.63","53,097,370.63","Industriales","2758051","US7551115071","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.28","146.09","362,946.00","53,022,781.14","53,022,781.14","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.28","231.20","229,067.00","52,960,290.40","52,960,290.40","Cuidado de la Salud","2445063","US4448591028","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.28","137.21","385,091.00","52,838,336.11","52,838,336.11","Tecnología de la Información","2459020","US4612021034","NASDAQ"
"STZ","CONSTELLATION BRANDS INC CLASS A","Equity","0.28","193.35","272,058.00","52,602,414.30","52,602,414.30","Productos básicos de consumo","2170473","US21036P1084","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.28","158.50","326,634.00","51,771,489.00","51,771,489.00","Bienes Raíces","2812452","US8288061091","New York Stock Exchange Inc."
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Equity","0.28","104.19","493,131.00","51,379,318.89","51,379,318.89","Consumo discrecional","2210614","US5719032022","NASDAQ"
"PLD","PROLOGIS REIT INC","Equity","0.27","60.81","838,938.00","51,015,819.78","51,015,819.78","Bienes Raíces","B44WZD7","US74340W1036","New York Stock Exchange Inc."
"ALXN","ALEXION PHARMACEUTICALS INC","Equity","0.26","137.34","355,280.00","48,794,155.20","48,794,155.20","Cuidado de la Salud","2036070","US0153511094","NASDAQ"
"AXP","AMERICAN EXPRESS","Equity","0.26","85.23","571,182.00","48,681,841.86","48,681,841.86","Financieros","2026082","US0258161092","New York Stock Exchange Inc."
"ZTS","ZOETIS INC CLASS A","Equity","0.26","62.52","778,239.00","48,655,502.28","48,655,502.28","Cuidado de la Salud","B95WG16","US98978V1035","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.26","75.15","645,054.00","48,475,808.10","48,475,808.10","Industriales","2937667","US94106L1098","New York Stock Exchange Inc."
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.26","91.22","523,936.00","47,793,441.92","47,793,441.92","Tecnología de la Información","2769796","US31620M1062","New York Stock Exchange Inc."
