iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"31-oct-2017"
Total Net Assets,"19,458,359,427.09"
,"131,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","7.03","169.04","8,098,060.00","1,368,896,062.40","1,368,896,062.40","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","5.16","83.18","12,075,620.00","1,004,450,071.60","1,004,450,071.60","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.55","1,105.28","625,088.00","690,897,264.64","690,897,264.64","Consumo discrecional","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","3.43","180.06","3,716,213.00","669,141,312.78","669,141,312.78","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.48","1,033.04","467,254.00","482,692,072.16","482,692,072.16","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.47","1,016.64","473,256.00","481,130,979.84","481,130,979.84","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.84","139.41","2,566,866.00","357,846,789.06","357,846,789.06","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.64","210.22","1,515,867.00","318,665,560.74","318,665,560.74","Cuidado de la Salud","2917766","US91324P1021","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.62","109.98","2,868,059.00","315,429,128.82","315,429,128.82","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","1.57","165.78","1,848,135.00","306,383,820.30","306,383,820.30","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","1.36","36.03","7,374,833.00","265,715,232.99","265,715,232.99","Consumo discrecional","2044545","US20030N1019","NASDAQ"
"ABBV","ABBVIE INC","Equity","1.16","90.25","2,499,243.00","225,556,680.75","225,556,680.75","Cuidado de la Salud","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","1.12","148.77","1,463,943.00","217,790,800.11","217,790,800.11","Tecnología de la Información","B121557","US57636Q1040","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","1.00","206.81","940,661.00","194,538,101.41","194,538,101.41","Tecnología de la Información","2379504","US67066G1040","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.99","64.22","3,007,916.00","193,168,365.52","193,168,365.52","Productos básicos de consumo","2692632","US02209S1033","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.94","35.06","5,239,596.00","183,700,235.76","183,700,235.76","Cuidado de la Salud","2684703","US7170811035","New York Stock Exchange Inc."
