iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"29-dic-2017"
Total Net Assets,"19,643,644,557.87"
,"128,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","7.42","169.23","8,614,061.00","1,457,757,543.03","1,457,757,543.03","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","5.64","85.54","12,943,111.00","1,107,153,714.94","1,107,153,714.94","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.99","1,169.47","671,018.00","784,735,420.46","784,735,420.46","Consumo discrecional","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","3.59","176.46","4,001,083.00","706,031,106.18","706,031,106.18","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.70","1,046.40","506,446.00","529,945,094.40","529,945,094.40","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.68","1,053.40","500,044.00","526,746,349.60","526,746,349.60","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"HD","HOME DEPOT INC","Equity","1.89","189.53","1,959,185.00","371,324,333.05","371,324,333.05","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.82","220.46","1,625,845.00","358,433,788.70","358,433,788.70","Cuidado de la Salud","2917766","US91324P1021","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.77","114.02","3,042,527.00","346,908,928.54","346,908,928.54","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.73","139.72","2,433,937.00","340,069,677.64","340,069,677.64","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"BA","BOEING","Equity","1.41","294.91","939,275.00","277,001,590.25","277,001,590.25","Industriales","2108601","US0970231058","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","1.32","96.71","2,674,484.00","258,649,347.64","258,649,347.64","Cuidado de la Salud","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","1.20","151.36","1,558,302.00","235,864,590.72","235,864,590.72","Tecnología de la Información","B121557","US57636Q1040","New York Stock Exchange Inc."
"MMM","3M","Equity","1.20","235.37","1,001,223.00","235,657,857.51","235,657,857.51","Industriales","2595708","US88579Y1010","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.17","29.52","7,811,963.00","230,609,147.76","230,609,147.76","Financieros","2295677","US0605051046","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.17","172.12","1,337,473.00","230,205,852.76","230,205,852.76","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","1.05","46.16","4,475,550.00","206,591,388.00","206,591,388.00","Tecnología de la Información","2463247","US4581401001","NASDAQ"
"NVDA","NVIDIA CORP","Equity","1.00","193.50","1,016,713.00","196,733,965.50","196,733,965.50","Tecnología de la Información","2379504","US67066G1040","NASDAQ"
"AVGO","BROADCOM LTD","Equity","0.89","256.90","682,159.00","175,246,647.10","175,246,647.10","Tecnología de la Información","BD9WQP4","SG9999014823","NASDAQ"
"TXN","TEXAS INSTRUMENT INC","Equity","0.88","104.44","1,653,521.00","172,693,733.24","172,693,733.24","Tecnología de la Información","2885409","US8825081040","NASDAQ"
"ABT","ABBOTT LABORATORIES","Equity","0.85","57.07","2,920,285.00","166,660,664.95","166,660,664.95","Cuidado de la Salud","2002305","US0028241000","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.85","36.22","4,600,248.00","166,620,982.56","166,620,982.56","Cuidado de la Salud","2684703","US7170811035","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.80","40.05","3,912,770.00","156,706,438.50","156,706,438.50","Consumo discrecional","2044545","US20030N1019","NASDAQ"
"CSCO","CISCO SYSTEMS INC","Equity","0.74","38.30","3,816,188.00","146,160,000.40","146,160,000.40","Tecnología de la Información","2198163","US17275R1023","NASDAQ"
"PG","PROCTER & GAMBLE","Equity","0.74","91.88","1,581,776.00","145,333,578.88","145,333,578.88","Productos básicos de consumo","2704407","US7427181091","New York Stock Exchange Inc."
"ADBE","ADOBE SYSTEM INC","Equity","0.74","175.24","827,034.00","144,929,438.16","144,929,438.16","Tecnología de la Información","2008154","US00724F1012","NASDAQ"
"PCLN","THE PRICELINE GROUP INC","Equity","0.72","1,737.74","81,823.00","142,187,100.02","142,187,100.02","Consumo discrecional","2779063","US7415034039","NASDAQ"
