iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"28-feb-2018"
Total Net Assets,"20,782,327,068.30"
,"129,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","7.45","178.12","8,705,832.00","1,550,682,795.84","1,550,682,795.84","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","5.90","93.77","13,080,987.00","1,226,604,150.99","1,226,604,150.99","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","4.93","1,512.45","678,164.00","1,025,689,141.80","1,025,689,141.80","Consumo discrecional","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","3.47","178.32","4,043,708.00","721,074,010.56","721,074,010.56","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.72","1,104.73","511,838.00","565,442,793.74","565,442,793.74","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.68","1,103.92","505,376.00","557,894,673.92","557,894,673.92","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"V","VISA INC CLASS A","Equity","1.82","122.94","3,074,929.00","378,031,771.26","378,031,771.26","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.79","226.16","1,643,167.00","371,618,648.72","371,618,648.72","Cuidado de la Salud","2917766","US91324P1021","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","1.73","182.27","1,980,059.00","360,905,353.93","360,905,353.93","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
"BA","BOEING","Equity","1.65","362.21","949,287.00","343,841,244.27","343,841,244.27","Industriales","2108601","US0970231058","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.54","129.88","2,459,874.00","319,488,435.12","319,488,435.12","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","1.50","115.83","2,702,970.00","313,085,015.10","313,085,015.10","Cuidado de la Salud","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","1.33","175.76","1,574,905.00","276,805,302.80","276,805,302.80","Tecnología de la Información","B121557","US57636Q1040","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.22","32.10","7,895,165.00","253,434,796.50","253,434,796.50","Financieros","2295677","US0605051046","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","1.20","242.00","1,027,547.00","248,666,374.00","248,666,374.00","Tecnología de la Información","2379504","US67066G1040","NASDAQ"
"MMM","3M","Equity","1.15","235.51","1,011,892.00","238,310,684.92","238,310,684.92","Industriales","2595708","US88579Y1010","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","1.07","49.29","4,523,220.00","222,949,513.80","222,949,513.80","Tecnología de la Información","2463247","US4581401001","NASDAQ"
"NFLX","NETFLIX INC","Equity","1.03","291.38","733,752.00","213,800,657.76","213,800,657.76","Consumo discrecional","2857817","US64110L1061","NASDAQ"
"MCD","MCDONALDS CORP","Equity","1.02","157.74","1,351,728.00","213,221,574.72","213,221,574.72","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.87","108.35","1,671,138.00","181,067,802.30","181,067,802.30","Tecnología de la Información","2885409","US8825081040","NASDAQ"
"ABT","ABBOTT LABORATORIES","Equity","0.86","60.33","2,951,394.00","178,057,600.02","178,057,600.02","Cuidado de la Salud","2002305","US0028241000","New York Stock Exchange Inc."
"ADBE","ADOBE SYSTEM INC","Equity","0.84","209.13","835,842.00","174,799,637.46","174,799,637.46","Tecnología de la Información","2008154","US00724F1012","NASDAQ"
