iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"29-sep-2017"
Total Net Assets,"19,167,264,930.79"
,"133,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","6.62","154.12","8,252,010.00","1,271,799,781.20","1,271,799,781.20","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","4.77","74.49","12,305,170.00","916,612,113.30","916,612,113.30","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","3.37","170.87","3,786,863.00","647,061,280.81","647,061,280.81","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.19","961.35","636,988.00","612,368,413.80","612,368,413.80","Consumo discrecional","2000019","US0231351067","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.41","973.72","476,154.00","463,640,672.88","463,640,672.88","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.41","959.11","482,256.00","462,536,552.16","462,536,552.16","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.77","130.01","2,615,666.00","340,062,736.66","340,062,736.66","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","1.60","163.56","1,883,285.00","308,030,094.60","308,030,094.60","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.60","105.24","2,922,609.00","307,575,371.16","307,575,371.16","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.57","195.85","1,544,667.00","302,523,031.95","302,523,031.95","Cuidado de la Salud","2917766","US91324P1021","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","1.50","38.48","7,515,033.00","289,178,469.84","289,178,469.84","Consumo discrecional","2044545","US20030N1019","NASDAQ"
"ABBV","ABBVIE INC","Equity","1.18","88.86","2,546,743.00","226,303,582.98","226,303,582.98","Cuidado de la Salud","B92SR70","US00287Y1091","New York Stock Exchange Inc."
