iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"31-ago-2017"
Total Net Assets,"19,080,155,307.33"
,"133,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","7.19","164.00","8,355,677.00","1,370,331,028.00","1,370,331,028.00","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","4.85","74.77","12,372,863.00","925,118,966.51","925,118,966.51","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","3.42","171.97","3,788,114.00","651,441,964.58","651,441,964.58","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.27","980.60","635,781.00","623,446,848.60","623,446,848.60","Consumo discrecional","2000019","US0231351067","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.39","955.24","476,979.00","455,629,419.96","455,629,419.96","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.36","939.33","478,201.00","449,188,545.33","449,188,545.33","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.83","132.37","2,633,446.00","348,589,247.02","348,589,247.02","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","1.62","40.61","7,584,626.00","308,011,661.86","308,011,661.86","Consumo discrecional","2044545","US20030N1019","NASDAQ"
"UNH","UNITEDHEALTH GROUP INC","Equity","1.61","198.90","1,544,360.00","307,173,204.00","307,173,204.00","Cuidado de la Salud","2917766","US91324P1021","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.61","103.52","2,958,792.00","306,294,147.84","306,294,147.84","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","1.51","149.87","1,915,991.00","287,149,571.17","287,149,571.17","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
