iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"31-ene-2018"
Total Net Assets,"21,002,134,353.88"
,"128,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","6.85","167.43","8,630,796.00","1,445,054,174.28","1,445,054,174.28","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","5.84","95.01","12,968,251.00","1,232,113,527.51","1,232,113,527.51","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","4.62","1,450.89","672,323.00","975,466,717.47","975,466,717.47","Consumo discrecional","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","3.55","186.89","4,008,853.00","749,214,537.17","749,214,537.17","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.81","1,169.94","507,431.00","593,663,824.14","593,663,824.14","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.81","1,182.22","501,014.00","592,308,771.08","592,308,771.08","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"HD","HOME DEPOT INC","Equity","1.87","200.90","1,962,990.00","394,364,691.00","394,364,691.00","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.83","236.78","1,629,005.00","385,715,803.90","385,715,803.90","Cuidado de la Salud","2917766","US91324P1021","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.79","124.23","3,048,437.00","378,707,328.51","378,707,328.51","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.60","138.19","2,438,667.00","336,999,392.73","336,999,392.73","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"BA","BOEING","Equity","1.58","354.37","941,100.00","333,497,607.00","333,497,607.00","Industriales","2108601","US0970231058","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","1.43","112.22","2,679,679.00","300,713,577.38","300,713,577.38","Cuidado de la Salud","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","1.25","169.00","1,561,327.00","263,864,263.00","263,864,263.00","Tecnología de la Información","B121557","US57636Q1040","New York Stock Exchange Inc."
"MMM","3M","Equity","1.19","250.50","1,003,168.00","251,293,584.00","251,293,584.00","Industriales","2595708","US88579Y1010","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.19","32.00","7,827,138.00","250,468,416.00","250,468,416.00","Financieros","2295677","US0605051046","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","1.19","245.80","1,018,688.00","250,393,510.40","250,393,510.40","Tecnología de la Información","2379504","US67066G1040","NASDAQ"
"MCD","MCDONALDS CORP","Equity","1.09","171.14","1,340,073.00","229,340,093.22","229,340,093.22","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","1.02","48.14","4,484,245.00","215,871,554.30","215,871,554.30","Tecnología de la Información","2463247","US4581401001","NASDAQ"
"NFLX","NETFLIX INC","Equity","0.93","270.30","727,422.00","196,622,166.60","196,622,166.60","Consumo discrecional","2857817","US64110L1061","NASDAQ"
"ABT","ABBOTT LABORATORIES","Equity","0.86","62.16","2,925,960.00","181,877,673.60","181,877,673.60","Cuidado de la Salud","2002305","US0028241000","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.86","109.67","1,656,731.00","181,693,688.77","181,693,688.77","Tecnología de la Información","2885409","US8825081040","NASDAQ"
"PFE","PFIZER INC","Equity","0.81","37.04","4,609,183.00","170,724,138.32","170,724,138.32","Cuidado de la Salud","2684703","US7170811035","New York Stock Exchange Inc."
"AVGO","BROADCOM LTD","Equity","0.80","248.03","683,484.00","169,524,536.52","169,524,536.52","Tecnología de la Información","BD9WQP4","SG9999014823","NASDAQ"
"CMCSA","COMCAST A CORP","Equity","0.79","42.53","3,920,370.00","166,733,336.10","166,733,336.10","Consumo discrecional","2044545","US20030N1019","NASDAQ"
"ADBE","ADOBE SYSTEM INC","Equity","0.78","199.76","828,639.00","165,528,926.64","165,528,926.64","Tecnología de la Información","2008154","US00724F1012","NASDAQ"
"PYPL","PAYPAL HOLDINGS INC","Equity","0.77","85.32","1,899,189.00","162,038,805.48","162,038,805.48","Tecnología de la Información","BYW36M8","US70450Y1038","NASDAQ"
"CSCO","CISCO SYSTEMS INC","Equity","0.75","41.54","3,823,603.00","158,832,468.62","158,832,468.62","Tecnología de la Información","2198163","US17275R1023","NASDAQ"
"PCLN","THE PRICELINE GROUP INC","Equity","0.74","1,912.05","81,983.00","156,755,595.15","156,755,595.15","Consumo discrecional","2779063","US7415034039","NASDAQ"
"PEP","PEPSICO INC","Equity","0.67","120.30","1,171,407.00","140,920,262.10","140,920,262.10","Productos básicos de consumo","2681511","US7134481081","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.66","107.23","1,305,419.00","139,980,079.37","139,980,079.37","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.65","47.59","2,900,689.00","138,043,789.51","138,043,789.51","Productos básicos de consumo","2206657","US1912161007","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.65","86.34","1,584,851.00","136,836,035.34","136,836,035.34","Productos básicos de consumo","2704407","US7427181091","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.64","51.59","2,611,924.00","134,749,159.16","134,749,159.16","Tecnología de la Información","2661568","US68389X1054","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.63","186.05","719,953.00","133,947,255.65","133,947,255.65","Cuidado de la Salud","2023607","US0311621009","NASDAQ"
"CELG","CELGENE CORP","Equity","0.63","101.16","1,323,482.00","133,883,439.12","133,883,439.12","Cuidado de la Salud","2182348","US1510201049","NASDAQ"
"CRM","SALESFORCE.COM INC","Equity","0.62","113.91","1,153,479.00","131,392,792.89","131,392,792.89","Tecnología de la Información","2310525","US79466L3024","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.61","108.67","1,193,254.00","129,670,912.18","129,670,912.18","Consumo discrecional","2270726","US2546871060","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.60","70.34","1,796,296.00","126,351,460.64","126,351,460.64","Productos básicos de consumo","2692632","US02209S1033","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.58","377.25","325,973.00","122,973,314.25","122,973,314.25","Consumo discrecional","BZ6VT82","US16119P1084","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.57","159.67","755,570.00","120,641,861.90","120,641,861.90","Industriales","2020459","US4385161066","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.57","83.80","1,427,297.00","119,607,488.60","119,607,488.60","Cuidado de la Salud","2369174","US3755581036","NASDAQ"
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.52","224.11","485,333.00","108,767,978.63","108,767,978.63","Cuidado de la Salud","2886907","US8835561023","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.51","62.60","1,733,318.00","108,505,706.80","108,505,706.80","Cuidado de la Salud","2126335","US1101221083","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","0.51","242.94","445,352.00","108,193,814.88","108,193,814.88","Cuidado de la Salud","2087807","US0758871091","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.51","53.34","2,005,627.00","106,980,144.18","106,980,144.18","Financieros","2779397","US8085131055","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.50","147.70","720,909.00","106,478,259.30","106,478,259.30","Bienes Raíces","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.50","160.70","654,467.00","105,172,846.90","105,172,846.90","Tecnología de la Información","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.48","68.22","1,479,864.00","100,956,322.08","100,956,322.08","Consumo discrecional","2640147","US6541061031","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.48","59.25","1,701,193.00","100,795,685.25","100,795,685.25","Cuidado de la Salud","2778844","US58933Y1055","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.47","104.73","951,973.00","99,700,132.29","99,700,132.29","Consumo discrecional","2536763","US5486611073","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.46","53.63","1,792,768.00","96,146,147.84","96,146,147.84","Tecnología de la Información","2046552","US0382221051","NASDAQ"
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.45","74.13","1,271,005.00","94,219,600.65","94,219,600.65","Tecnología de la Información","2575818","US00507V1098","NASDAQ"
