iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"30-jun-2017"
Total Net Assets,"17,939,712,346.22"
,"131,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","6.54","144.02","8,146,291.00","1,173,228,829.82","1,173,228,829.82","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","4.63","68.93","12,062,810.00","831,489,493.30","831,489,493.30","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.34","968.00","619,844.00","600,008,992.00","600,008,992.00","Consumo discrecional","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","3.11","150.98","3,693,191.00","557,597,977.18","557,597,977.18","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.41","929.68","465,023.00","432,322,582.64","432,322,582.64","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.36","908.73","466,219.00","423,667,191.87","423,667,191.87","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.89","132.29","2,567,451.00","339,648,092.79","339,648,092.79","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","1.60","38.92","7,394,559.00","287,796,236.28","287,796,236.28","Consumo discrecional","2044545","US20030N1019","NASDAQ"
"HD","HOME DEPOT INC","Equity","1.60","153.40","1,867,974.00","286,547,211.60","286,547,211.60","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.56","185.42","1,505,657.00","279,178,920.94","279,178,920.94","Cuidado de la Salud","2917766","US91324P1021","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.51","93.78","2,884,645.00","270,522,008.10","270,522,008.10","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.25","74.47","3,018,071.00","224,755,747.37","224,755,747.37","Productos básicos de consumo","2692632","US02209S1033","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","1.01","72.51","2,486,676.00","180,308,876.76","180,308,876.76","Cuidado de la Salud","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.99","121.45","1,465,551.00","177,991,168.95","177,991,168.95","Tecnología de la Información","B121557","US57636Q1040","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.98","33.59","5,221,644.00","175,395,021.96","175,395,021.96","Cuidado de la Salud","2684703","US7170811035","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.96","27.01","6,395,197.00","172,734,270.97","172,734,270.97","Industriales","2380498","US3696041033","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.95","87.15","1,958,094.00","170,647,892.10","170,647,892.10","Productos básicos de consumo","2704407","US7427181091","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.95","64.09","2,649,587.00","169,812,030.83","169,812,030.83","Cuidado de la Salud","2778844","US58933Y1055","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.88","129.87","1,219,985.00","158,439,451.95","158,439,451.95","Cuidado de la Salud","2182348","US1510201049","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.87","117.45","1,334,677.00","156,757,813.65","156,757,813.65","Productos básicos de consumo","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
