iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"30-nov-2017"
Total Net Assets,"20,148,330,533.64"
,"132,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"AAPL","APPLE INC","Equity","6.96","171.85","8,165,885.00","1,403,307,337.25","1,403,307,337.25","Tecnología de la Información","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","5.09","84.17","12,176,739.00","1,024,916,121.63","1,024,916,121.63","Tecnología de la Información","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.68","1,176.75","630,343.00","741,756,125.25","741,756,125.25","Consumo discrecional","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","3.30","177.18","3,747,340.00","663,953,701.20","663,953,701.20","Tecnología de la Información","B7TL820","US30303M1027","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.42","1,036.17","471,190.00","488,232,942.30","488,232,942.30","Tecnología de la Información","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.42","1,021.41","477,223.00","487,440,344.43","487,440,344.43","Tecnología de la Información","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.79","139.33","2,588,369.00","360,637,452.77","360,637,452.77","Cuidado de la Salud","2475833","US4781601046","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.73","228.17","1,528,541.00","348,767,199.97","348,767,199.97","Cuidado de la Salud","2917766","US91324P1021","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","1.66","179.82","1,863,634.00","335,118,665.88","335,118,665.88","Consumo discrecional","2434209","US4370761029","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.62","112.59","2,892,114.00","325,623,115.26","325,623,115.26","Tecnología de la Información","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","1.39","37.54","7,436,600.00","279,169,964.00","279,169,964.00","Consumo discrecional","2044545","US20030N1019","NASDAQ"
"ABBV","ABBVIE INC","Equity","1.21","96.92","2,520,159.00","244,253,810.28","244,253,810.28","Cuidado de la Salud","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","1.10","150.47","1,476,228.00","222,128,027.16","222,128,027.16","Tecnología de la Información","B121557","US57636Q1040","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.02","67.83","3,033,130.00","205,737,207.90","205,737,207.90","Productos básicos de consumo","2692632","US02209S1033","New York Stock Exchange Inc."
